"","VideometerLab","E-Nose","FTIR","Fresh Detect","VideometerLabUV","ML_Means"
"Regression Tree(auto-scale)","0.8281","1.0198","0.9116","0.8643","0.9194","0.9086"
"Regression Tree(range-scale)","0.2279","0.2843","0.2555","0.2400","0.2495","0.2514"
"Regression Tree(mean-center)","1.3678","1.7303","1.5547","1.4603","1.5073","1.5241"
"Random Forest(range-scale)","0.1837","0.2594","0.2125","0.2026","0.1994","0.2115"
"Random Forest(mean-center)","1.1147","1.5885","1.2841","1.2369","1.2195","1.2887"
"Random Forest(auto-scale)","0.6641","0.9315","0.7621","0.7271","0.7435","0.7657"
"Neural Network(range-scale)","0.2543","0.3133","0.3540","0.2966","0.2195","0.2875"
"Neural Network(mean-center)","1.6726","8.7081","2.8101","1.5781","1.4728","3.2483"
"Neural Network(auto-scale)","1.0938","3.1944","1.4495","1.0852","1.2735","1.6193"
"k-nearest neighbors(range-scale)","0.2243","0.2827","0.2349","0.2140","0.2117","0.2335"
"k-nearest neighbors(mean-center)","1.1031","1.7417","1.4860","1.3211","1.1565","1.3617"
"k-nearest neighbors(auto-scale)","0.7923","1.0062","0.8972","0.7649","0.7661","0.8453"
"SVR-Radial(range-scale)","0.0612","0.0353","0.0635","0.1173","0.0524","0.0659"
"SVR-Radial(mean-center)","0.3726","0.2145","0.3867","0.7138","0.3184","0.4012"
"SVR-Radial(auto-scale)","0.2226","0.1265","0.2268","0.4224","0.1942","0.2385"
"SVR-Polynomial(range-scale)","0.1272","0.4164","0.1950","1.4380","0.1952","0.4744"
"SVR-Polynomial(mean-center)","0.7739","2.5341","1.1866","8.7503","1.1870","2.8864"
"SVR-Polynomial(auto-scale)","0.4622","1.4936","0.6959","5.1787","0.7240","1.7109"
"XGBoost(range-scale)","0.0634","0.1183","0.3948","0.0677","0.0787","0.1446"
"XGBoost(mean-center)","0.0717","0.0019","2.4179","1.7125","0.3182","0.9044"
"XGBoost(auto-scale)","0.2388","0.8406","0.9165","0.6860","0.3770","0.6118"
"Partial least squares Regression(range-scale)","0.2100","0.2623","0.2219","0.2291","0.1886","0.2224"
"Partial least squares Regression(mean-center)","1.2779","1.5960","1.3504","1.3943","1.1466","1.3530"
"Partial least squares Regression(auto-scale)","0.7632","0.9407","0.7920","0.8252","0.6994","0.8041"
"PCA Regression(range-scale)","0.2288","0.2673","0.2377","0.2368","0.2513","0.2444"
"PCA Regression(mean-center)","1.4384","1.7739","1.4626","1.4590","1.3274","1.4923"
"PCA Regression(auto-scale)","0.8168","0.9415","0.9275","0.8592","0.9066","0.8903"
"Ordinary Least Squares Regression(range-scale)","0.2190","0.2969","0.2023","0.3535","0.1650","0.2473"
"Ordinary Least Squares Regression(mean-center)","1.3327","1.8069","1.2313","2.1512","1.0032","1.5051"
"Ordinary Least Squares Regression(auto-scale)","0.7960","1.0650","0.7221","1.2731","0.6119","0.8936"
"Stepwise Regression(range-scale)","0.2233","0.2770","0.2142","0.3149","0.1607","0.2380"
"Stepwise Regression(mean-center)","1.3587","1.6857","1.3033","1.9163","0.9771","1.4482"
"Stepwise Regression(auto-scale)","0.8115","0.9935","0.7644","1.1341","0.5960","0.8599"
"Ridge Regression(range-scale)","0.1904","0.2585","0.2127","0.1827","0.1642","0.2017"
"Ridge Regression(mean-center)","1.1586","1.5728","1.2943","1.1119","0.9985","1.2272"
"Ridge Regression(auto-scale)","0.6920","0.9270","0.7591","0.6580","0.6090","0.7290"
"Lasso Regression(range-scale)","0.1960","0.2605","0.2024","0.1816","0.1658","0.2013"
"Lasso Regression(mean-center)","1.1928","1.5852","1.2317","1.1049","1.0078","1.2245"
"Lasso Regression(auto-scale)","0.7124","0.9343","0.7224","0.6539","0.6147","0.7275"
"Elastic Regression(range-scale)","0.1830","0.2557","0.2079","0.1844","0.1630","0.1988"
"Elastic Regression(mean-center)","1.1420","1.5488","1.1763","1.1223","0.9872","1.1953"
"Elastic Regression(auto-scale)","0.6767","0.9184","0.6960","0.6775","0.5783","0.7094"
"Platform_Means","0.6557","1.1193","0.8245","1.1215","0.6359",""
