"","ENOSE","FTIR","Fresh Detect","VideometerLabUV","ML_Means"
"Neural Network(range-scale)"," -0.3422","-0.7101"," -0.2459"," 0.3535"," -0.1774"
"Neural Network(mean-center)","-33.8722","-1.8481","  0.1086"," 0.2092"," -7.0976"
"Neural Network(auto-scale)","-10.1999","-1.2498"," -0.1901","-0.5862"," -2.5040"
"k-nearest neighbors(range-scale)"," -0.0202"," 0.2893","  0.3943"," 0.3600","  0.2651"
"k-nearest neighbors(mean-center)"," -0.0456"," 0.2294","  0.3787"," 0.4911","  0.3184"
"k-nearest neighbors(auto-scale)"," -0.0063"," 0.1820","  0.4061"," 0.3916","  0.2639"
"SVM-Radial(range-scale)","  0.9725"," 0.9466","  0.8167"," 0.9607","  0.9272"
"SVM-Radial(mean-center)","  0.9726"," 0.9466","  0.8167"," 0.9607","  0.9272"
"SVM-Radial(auto-scale)","  0.9725"," 0.9466","  0.8167"," 0.9607","  0.9272"
"SVM-Polynomial(range-scale)"," -2.1215"," 0.4535","-53.7493"," 0.4230","-10.8456"
"SVM-Polynomial(mean-center)"," -2.1215"," 0.4535","-53.7493"," 0.4230","-10.8456"
"SVM-Polynomial(auto-scale)"," -2.1215"," 0.4535","-53.7493"," 0.4230","-10.8456"
"Regression Tree(no_pretreatment)","  0.0642"," 0.2708","  0.3044"," 0.1776","  0.2163"
"XGBoost(range-scale)","  0.6419","-1.3455","  0.7297"," 0.8293","  0.3549"
"XGBoost(mean-center)","  0.7040","-1.1753","  0.7271"," 0.8158","  0.4007"
"XGBoost(auto-scale)","  0.7156","-0.7330","  0.7306"," 0.8197","  0.4934"
"Random Forest(no_pretreatment)"," -0.0884"," 0.5067","  0.4398"," 0.5358","  0.3486"
"Partial least squares Regression(range-scale)","  0.1181"," 0.3626","  0.3080"," 0.4972","  0.3357"
"Partial least squares Regression(mean-center)","  0.1181"," 0.3626","  0.3080"," 0.4972","  0.3357"
"Partial least squares Regression(auto-scale)","  0.1181"," 0.3626","  0.3080"," 0.4972","  0.3357"
"PCA Regression(range-scale)","  0.0832"," 0.2681","  0.2619"," 0.1080","  0.2007"
"PCA Regression(mean-center)"," -0.0837"," 0.2501","  0.2429"," 0.3216","  0.1935"
"PCA Regression(auto-scale)","  0.1170"," 0.1319","  0.2504"," 0.1530","  0.1920"
"Ordinary Least Squares Regression(range-scale)"," -0.1951"," 0.4656"," -0.6458"," 0.6213","  0.1089"
"Ordinary Least Squares Regression(mean-center)"," -0.1951"," 0.4656"," -0.6458"," 0.6213","  0.1089"
"Ordinary Least Squares Regression(auto-scale)"," -0.1951"," 0.4656"," -0.6458"," 0.6213","  0.1089"
"Stepwise Regression(range-scale)"," -0.0329"," 0.4040"," -0.3211"," 0.6393","  0.1917"
"Stepwise Regression(mean-center)"," -0.0329"," 0.4040"," -0.3211"," 0.6393","  0.1917"
"Stepwise Regression(auto-scale)"," -0.0329"," 0.4040"," -0.3211"," 0.6393","  0.1917"
"Ridge Regression(range-scale)","  0.1148"," 0.4179","  0.5656"," 0.6224","  0.4415"
"Ridge Regression(mean-center)","  0.1148"," 0.4179","  0.5656"," 0.6224","  0.4415"
"Ridge Regression(auto-scale)","  0.1148"," 0.4179","  0.5656"," 0.6224","  0.4415"
"Lasso Regression(range-scale)","  0.1003"," 0.4666","  0.5707"," 0.6195","  0.4405"
"Lasso Regression(mean-center)","  0.1003"," 0.4666","  0.5707"," 0.6195","  0.4405"
"Lasso Regression(auto-scale)","  0.1003"," 0.4666","  0.5707"," 0.6195","  0.4405"
"Elastic Regression(range-scale)","  0.1335"," 0.4442","  0.5568"," 0.6317","  0.4547"
"Elastic Regression(mean-center)","  0.1408"," 0.5179","  0.5565"," 0.6298","  0.4654"
"Elastic Regression(auto-scale)","  0.1303"," 0.5091","  0.5407"," 0.6611","  0.4660"
"Platform_Means"," -1.1858"," 0.1865"," -3.9782"," 0.5277",""
